acc,gc,gc3,osc_1_z,osc_1_pval,osc_2_z,osc_2_pval,osc_both_z,osc_both_pval
AE000511,0.39662726626981054,0.4191618724517428,35.9598979463,3.5448065995e-283,11.2237700015,3.11693284949e-29,33.4595973288,1.86637833523e-245
AE000783,0.28987516776353023,0.20380897546101823,9.36686335898,7.47200236319e-21,-27.0814615071,1.62811293588e-161,-19.7071395144,1.87257269042e-86
AE003852,0.4840383791917741,0.49085328827676306,-7.88732062145,3.08743465583e-15,9.18689794966,4.04333060049e-20,3.35226434303,0.000801534467834
AE005673,0.678038025652414,0.8692442861836319,15.8064212144,2.80981474895e-56,-37.4648247461,3.44585444623e-307,-21.8300966022,1.20166426033e-105
AE008691,0.3787847063886088,0.33525022973114044,28.3952620104,2.31372565045e-177,-61.6063224197,0.0,-34.8578078468,3.24255297786e-266
AE010300,0.36748796979684045,0.29724131700779616,44.3105948906,0.0,-140.4374525,0.0,-97.721663368,0.0
AE015924,0.4946300756189419,0.5473122169687745,-4.61362225221,3.95711331544e-06,-99.3456797149,0.0,-85.7772553324,0.0
AE016828,0.4338233349651671,0.4085489702632693,-2.56532043178,0.0103080561239,-15.4596183726,6.49823747905e-54,-14.4223770603,3.74228317479e-47
AE017196,0.3553269386385616,0.2765363875395517,3.090823882,0.00199601986119,-9.97831248925,1.89664915159e-23,-6.84493724547,7.65094031456e-12
AE017283,0.603762649144179,0.695160093857194,-32.1995294017,1.79187739228e-227,6.42325629868,1.33389620689e-10,-16.2231789007,3.45823109599e-59
AJ965256,0.47966988920720394,0.48690922027412276,-19.0537160019,6.11996587395e-81,-8.31328869179,9.30856981757e-17,-20.1112433224,5.88305793067e-90
AM167904,0.6221962042039854,0.7463711556916328,-51.0183615494,0.0,-53.9059919509,0.0,-82.1592819647,0.0
AM398681,0.33321696917251153,0.24412027242285708,45.1337521155,0.0,-99.3730328906,0.0,-61.8672225901,0.0
AM746676,0.7169134784704737,0.9184608346914314,42.6148596482,0.0,-113.425959595,0.0,-39.0768975155,0.0
AP006628,0.2915119911863246,0.19930445779323427,14.5119990185,1.01712614529e-47,-24.856402997,2.2048707512e-136,-13.0612546209,5.48168578994e-39
AP008232,0.5632457117587529,0.6532110561483255,-41.8841987894,0.0,-4.38565511868,1.15637216197e-05,-31.8453272218,1.52774386489e-222
AP009178,0.3987444009332109,0.3746996927724637,1.63538364642,0.101968648452,-84.5654898346,0.0,-73.3972004645,0.0
AP009552,0.43009831267348486,0.3892007933373903,12.4615510415,1.20994233295e-35,-38.0673218789,0.0,-21.6740590724,3.60530495223e-104
AP011121,0.5388700835281605,0.5329877392139974,-27.8652752607,7.0343959175e-171,-30.8005373588,2.57738087653e-208,-42.7961364208,0.0
AP012032,0.5498665895764072,0.617696773834591,-31.4667150115,2.47975382421e-217,16.5296071876,2.24602555614e-61,-7.70813117567,1.27673484205e-14
AP012051,0.35579593141263244,0.27256713086353945,16.4279685102,1.20632988634e-60,-39.2176973866,0.0,-23.6064663405,3.3076612679e-123
AP012204,0.6775278324405882,0.8442931868088239,-7.43837952474,1.01927871722e-13,-59.7423422315,0.0,-53.0970873835,0.0
AP012292,0.5184510223370487,0.6068031213819606,-40.4177923346,0.0,-49.50002113,0.0,-65.1378687377,0.0
AP012337,0.6009152996065423,0.706536052781406,-10.0880163365,6.24180895406e-24,-73.6641064175,0.0,-70.3341508045,0.0
AP013044,0.48211756458069016,0.5448320235810405,4.05189201523,5.08051139555e-05,-83.2856375927,0.0,-62.9846468872,0.0
AP014568,0.6666586181144106,0.8415067066572002,-69.3990197789,0.0,-55.6801376004,0.0,-88.2751806975,0.0
AP014815,0.33526082463185586,0.20884403780934985,9.67372986935,3.89902880589e-22,-21.4393673867,5.73884777756e-102,-13.202418875,8.4962353943e-40
BA000043,0.5306091002789196,0.6186783955595854,8.61658649304,6.89796938407e-18,-25.9719257845,1.02823600876e-148,-17.4898919488,1.71081332279e-68
BX842601,0.5111643022920589,0.5837625261076778,24.2552982584,5.81357827702e-130,-60.4399346089,0.0,-42.600417649,0.0
CP000031,0.6488704425682323,0.8104789407016101,-3.56163250965,0.000368556016236,-88.1564054406,0.0,-74.7187363798,0.0
CP000103,0.5494863817646178,0.6150868153937772,-28.6802741176,6.72362289188e-181,-87.9708061987,0.0,-89.4684181426,0.0
CP000117,0.4262251321239368,0.3534505888133022,10.7490051478,5.99042237408e-27,-14.3137755255,1.79497841035e-46,-4.04506200068,5.23092784667e-05
CP000153,0.348390145096664,0.25654210373068037,34.1728996504,6.11148495291e-256,-40.0747685845,0.0,-11.1307102242,8.89241404117e-29
