acc,gc,gc3,osc_1_z,osc_1_pval,osc_2_z,osc_2_pval,osc_both_z,osc_both_pval
AE000511,0.39662726626981054,0.4191618724517428,42.1039919539,0.0,-9.21639199393,3.07265289625e-20,20.6509782787,9.56630066067e-95
AE000783,0.28987516776353023,0.20380897546101823,18.6224669918,2.11253908587e-77,-41.4441421949,0.0,-20.8075961816,3.69408728549e-96
AE003852,0.4840383791917741,0.49085328827676306,9.75672127098,1.72646672467e-22,16.8155947169,1.87600435334e-63,21.2598355703,2.67351394924e-100
AE005673,0.678038025652414,0.8692442861836319,39.543741857,0.0,-39.5270555811,0.0,4.98305311969,6.25887592976e-07
AE008691,0.3787847063886088,0.33525022973114044,41.051147866,0.0,-93.1236431723,0.0,-46.1459221188,0.0
AE010300,0.36748796979684045,0.29724131700779616,69.4048593892,0.0,-203.623232186,0.0,-122.919050784,0.0
AE015924,0.4946300756189419,0.5473122169687745,-7.60649777689,2.81623071226e-14,-113.724885189,0.0,-96.2645597832,0.0
AE016828,0.4338233349651671,0.4085489702632693,12.2982030818,9.2611510982e-35,-21.3457524893,4.27033723755e-101,-10.2394112552,1.32037381022e-24
AE017196,0.3553269386385616,0.2765363875395517,0.794765055901,0.426750181429,-14.5438818991,6.38658294842e-48,-11.5645836639,6.22927050458e-31
AE017283,0.603762649144179,0.695160093857194,-19.8477429732,1.15263230102e-87,8.30699654824,9.81548014216e-17,-6.71050960639,1.93945877147e-11
AJ965256,0.47966988920720394,0.48690922027412276,-19.0419752676,7.65841654359e-81,-14.044130521,8.36892062688e-45,-23.4375284067,1.77178098591e-121
AM167904,0.6221962042039854,0.7463711556916328,-30.3140246769,7.49065051022e-202,-49.5825357259,0.0,-59.4201385712,0.0
AM398681,0.33321696917251153,0.24412027242285708,33.5414475077,1.19976086389e-246,-107.482193999,0.0,-70.8827129734,0.0
AM746676,0.7169134784704737,0.9184608346914314,62.3722319556,0.0,-121.151130835,0.0,-27.8978020288,2.83701333182e-171
AP006628,0.2915119911863246,0.19930445779323427,24.9729895556,1.20186054059e-137,-36.7204081416,3.45061024949e-295,-15.9750771123,1.90618519304e-57
AP008232,0.5632457117587529,0.6532110561483255,-22.2185610269,2.27234695788e-109,0.788169192196,0.430597746915,-15.0194343242,5.47731398899e-51
AP009178,0.3987444009332109,0.3746996927724637,0.568303744437,0.569828736906,-97.9289783635,0.0,-80.6315167535,0.0
AP009552,0.43009831267348486,0.3892007933373903,56.6084054067,0.0,-61.9288471251,0.0,-15.7688438901,5.09743255712e-56
AP011121,0.5388700835281605,0.5329877392139974,-31.584124125,6.0997092122e-219,-38.9366664938,0.0,-51.2476055545,0.0
AP012032,0.5498665895764072,0.617696773834591,-11.0136661455,3.28364077985e-28,24.610640837,9.71787267029e-134,13.0623860598,5.40080703324e-39
AP012051,0.35579593141263244,0.27256713086353945,24.2317752251,1.02928017385e-129,-59.0185304988,0.0,-34.1007702623,7.18476664592e-255
AP012204,0.6775278324405882,0.8442931868088239,14.0187894535,1.19637975065e-44,-60.4584198813,0.0,-27.47264191,3.72771731877e-166
AP012292,0.5184510223370487,0.6068031213819606,-34.2366744265,6.8860037582e-257,-68.6025808343,0.0,-71.1108552266,0.0
AP012337,0.6009152996065423,0.706536052781406,7.72984620654,1.07676588312e-14,-74.683807806,0.0,-52.5443886971,0.0
AP013044,0.48211756458069016,0.5448320235810405,9.53142128385,1.55144406011e-21,-88.1615600559,0.0,-62.2560101238,0.0
AP014568,0.6666586181144106,0.8415067066572002,-37.8007086008,0.0,-52.0087532281,0.0,-61.4908584735,0.0
AP014815,0.33526082463185586,0.20884403780934985,37.6462217263,3.77215097818e-310,-41.5133176725,0.0,-6.82153447829,9.00731446245e-12
BA000043,0.5306091002789196,0.6186783955595854,21.8441440677,8.83654325023e-106,-43.8478475895,0.0,-16.9824769895,1.10713146635e-64
BX842601,0.5111643022920589,0.5837625261076778,51.7471931345,0.0,-78.5968626756,0.0,-32.190547939,2.39336629395e-227
CP000031,0.6488704425682323,0.8104789407016101,27.546610211,4.85912851337e-167,-74.2369728926,0.0,-32.9290628601,8.43672839294e-238
CP000103,0.5494863817646178,0.6150868153937772,-21.1420888536,3.26311317619e-99,-89.9738212236,0.0,-81.7960923481,0.0
CP000117,0.4262251321239368,0.3534505888133022,28.7504454027,8.94219184169e-182,-17.3012116455,4.60599087809e-67,7.5845187581,3.33723389552e-14
CP000153,0.348390145096664,0.25654210373068037,49.2063460626,0.0,-62.9456332114,0.0,-16.3143962315,7.79733191298e-60
CP000230,0.6622089736850888,0.8195482292321247,23.3041151593,4.02717534342e-120,-58.1341532951,0.0,-21.5839855863,2.54001394192e-103
CP000249,0.7065436814200738,0.8664099336337266,-4.03119407267,5.54941959942e-05,-29.8592547047,6.65739188143e-196,-22.7347522075,2.03116625268e-114
CP000270,0.6347388300822911,0.7866642380886134,20.8266332654,2.48314532578e-96,-98.3799389684,0.0,-52.5577065473,0.0
CP000356,0.659866061844522,0.8159787272014843,31.4816534098,1.54884845281e-217,-82.8760228857,0.0,-39.1099833957,0.0
CP000390,0.6166465256413678,0.739364797965004,20.2741189534,2.17654567073e-91,-88.3336780892,0.0,-54.3089429148,0.0
CP000448,0.4577264142807687,0.4662108717760231,-26.4232916437,7.39992053327e-154,-30.3220494316,5.87142121903e-202,-41.3806703964,0.0
CP000473,0.6252864167585569,0.7754134680132427,10.7209656527,8.11516056599e-27,-150.980554023,0.0,-92.906950205,0.0
